中央台,#genre#
江西卫视,http://58.248.112.203:8006/GD_CUCC/G_JIANGXI-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oSFtNLUdun4aiq6hb34UOKceLZL4U844FaKbLu0T%2FMyn
金鹰卡通,http://58.248.112.203:8006/GD_CUCC/G_JINYING.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oRPj6Haafi3VP20FQgvbJuOIBsHGBKA8FNBVm0uK%2F0ZZ
卡酷少儿,http://58.248.112.203:8006/GD_CUCC/G_KAKU.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oV236rlvA1eZs1ci7wmSMv0CMNY12od21KDWX9YFDv6w
康巴卫视,http://58.248.112.203:8006/GD_CUCC/G_KANGBA.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4ob9Sl44iPJIDlXBUkUhbBnt2Os6AnntbMdV8XCu7N4Dw
辽宁卫视,http://58.248.112.203:8006/GD_CUCC/G_CHONGQING-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oS5XA1hsd3RREgysPiqqJeRvzBjFEov6wNjdmaRgJFYm
内蒙古卫视,http://58.248.112.203:8006/GD_CUCC/G_NEIMENGGU.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oVDpCcbR9yo71P2q9R6XUUm343IOI6CXHXZCMKonCyvJ
宁夏卫视,http://58.248.112.203:8006/GD_CUCC/G_NINGXIA.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4obZcKpZgH5U1P2M0T2jaynpy02DYZ4In5GrnJ0E8JpUk
农林卫视,http://58.248.112.203:8006/GD_CUCC/G_NONGLIN.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oVtNen5ifdJ67E5WK0fnqWhy02DYZ4In5GrnJ0E8JpUk
青海卫视,http://58.248.112.203:8006/GD_CUCC/G_QINGHAI.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oZl93ioI6pzqJ3oMEcPn7YNy02DYZ4In5GrnJ0E8JpUk
三沙卫视,http://58.248.112.203:8006/GD_CUCC/G_SANSHA-HQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oQWxH%2FWOWL79MgpT0%2Fjuz2q343IOI6CXHXZCMKonCyvJ
厦门卫视,http://58.248.112.203:8006/GD_CUCC/G_XIAMEN.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oVLbcfv9B07ZLhj2gsjyC861%2FX5Rzr3xqxGLRWJlvO4c
山东教育卫视,http://58.248.112.203:8006/GD_CUCC/G_SDETV.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oQrspMzT6o0i9xrBjyT9gWreUEdMM4GvhOM12IcPNJ4K
山东卫视,http://58.248.112.203:8006/GD_CUCC/G_SHANDONG-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oY%2BfIJoJ9xhIZtB7lTaNNRLO7p%2FQNZIlsoRW7Z4MrBaF
陕西卫视,http://58.248.112.203:8006/GD_CUCC/G_SHANXI-HQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oRPvvLgTH5WCytB0J2SH1RHfl8tjeynnOQOwsP2VxN7%2F
上海经视,http://58.248.112.203:8006/GD_CUCC/G_SHANGHAIJS-HD.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oT2XjEQPCgsjHTwYM82OKTCULsuTkhgT7phcxgJ1u9%2Bt
深圳卫视,http://58.248.112.203:8006/GD_CUCC/G_SHENZHEN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4odBPUZJQRNJB5bOiIhhUc3fO7p%2FQNZIlsoRW7Z4MrBaF
四川卫视,http://58.248.112.203:8006/GD_CUCC/G_SICHUAN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oShysHnFVsdNiy%2FnVMuA%2F2t5%2BcCHJuzFJF7N8SkBZNlg
天津卫视,http://58.248.112.203:8006/GD_CUCC/G_TIANJIN-CQ.m3u8?Authinfo=UXJS6N%2BXsubrCs8jk7Z4oaessbbY33u5MnZnHCFZZTJ5%2BcCHJuzFJF7N8SkBZNlg
